prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
7,apple,1604.5627708590748,399.86107464900346,0,1204.7016962100713,542.1157632945321,662.5859329155392,1464.0992857913682,10356.957848656684,41,41,41.09246120492754,16
8,apple,1789.822360718987,692.7738041074356,0,1097.0485566115515,493.67185047519814,603.3767061363533,1362.802234941971,8941.644315864512,51,51,36.849283897155644,16
9,apple,343.23169097180835,570.2427164501238,0,-227.01102547831545,0,-227.01102547831545,1958.0954590380206,9890.689860846986,8,43,37.581594951340286,16
10,art,252.00413938952408,0,139.0306723670137,112.97346702251039,50.83806016012967,62.13540686238072,190.33105375860254,5813.816512016543,3,3,88.20144878633344,16
11,art,253.95333392224694,0,106.86730162992436,147.08603229232259,66.18871453154516,80.89731776077743,185.1640568869419,5448.008049603388,3,3,88.88366687278643,16
12,art,260.2508851781831,0,139.63994079643447,120.61094438174865,54.274924971786895,66.33601940996175,159.90952948165685,5271.435194789474,4,4,68.31585735927307,16
13,art,125.63300100426244,0,133.5784891369347,-7.945488132672267,0,-7.945488132672267,194.85382577471944,5276.670101829536,3,3,43.97155035149186,16
14,art,143.4481466607661,0,136.30458075197419,7.143565908791913,3.214604658956361,3.9289612498355524,159.6887806087915,5673.456468727049,4,4,37.6551384984511,16
15,art,284.47216717640856,0,144.0986443219274,140.37352285448117,63.16808528451652,77.20543756996464,159.90952948165685,5396.150176635755,4,4,74.67394388380725,16
16,art,271.2802087734675,0,136.79014608630314,134.49006268716437,60.52052820922397,73.9695344779404,167.04174895545947,5465.012359505393,4,4,71.21105480303522,16
17,art,193.28045592301208,0,118.35648967355532,74.92396624945677,33.71578481225555,41.20818143720122,159.90952948165685,5874.187333846819,3,3,67.64815957305424,16
18,art,169.0624900768738,0,134.8844524435129,34.17803763336087,15.380116935012392,18.79792069834848,193.09784361707932,5090.23002782122,3,3,59.171871526905825,16
19,art,160.42551948196646,0,141.75676398205317,18.66875549991329,8.40093997496098,10.267815524952308,174.02006916156134,5248.058688235001,4,4,42.1116988640162,16
20,pear,292.3650665046406,65.18153377422486,0,227.18353273041572,102.23258972868707,124.95094300172865,56.8936360444316,6318.204396835676,15,15,20.465554655324844,16
21,pear,330.5384084679289,98.53928549119894,0,231.99912297672995,104.39960533952848,127.59951763720147,130.94613982227762,5808.477431700472,19,19,18.26659625743818,16
22,pear,539.4106059077997,443.999701547206,0,95.41090436059369,42.93490696226716,52.47599739832653,81.10203659293356,5493.669488133479,30,30,18.879371206772984,16
23,pear,413.4666843765188,338.47520016190776,0,74.99148421461103,33.74616789657497,41.24531631803607,110.77713806347688,4369.3357956824375,27,27,16.079259947975732,16
24,pear,564.4449968713193,426.86135169204397,0,137.58364517927532,61.912640330673895,75.67100484860143,49.791110065432385,6488.999819587654,29,29,20.43680161085811,16
25,pear,130.17004710186325,0,0,130.17004710186325,58.57652119583846,71.59352590602478,32.63536230906602,6136.699554887964,7,7,19.525507065279488,16
26,pear,535.6212790160896,460.25626331864885,0,75.36501569744075,33.91425706384834,41.450758633592415,104.55663906248422,4841.744105632231,32,32,17.575073217715445,16
27,pear,562.1749980048368,503.7893231845998,0,58.38567482023694,26.273553669106626,32.11212115113032,102.90652686570672,5255.682594596336,33,33,17.887386300153896,16
28,pear,541.2696520965005,372.3074669964676,0,168.9621851000329,76.03298329501482,92.9292018050181,67.52587878109942,6157.026553027397,28,28,20.297611953618777,16
29,pear,558.148911946527,459.5845286962582,0,98.56438325026886,44.35397246262099,54.210410787647874,43.870212091993515,5410.384939818151,31,31,18.905043791737214,16
0,apple,1626.9699257266689,515.0213354663172,0,1111.9485902603517,500.3768656171583,611.5717246431934,915.083675363654,9566.694811112264,43,43,39.72833539565122,17
1,apple,1366.0428990955536,653.7737688376671,0,712.2691302578864,320.5211086160489,391.74802164183757,0.0,7215.389679402283,42,42,34.15107247738887,17
2,apple,1306.7460893830566,783.1708789635264,0,523.5752104195302,235.6088446887886,287.9663657307416,0.0,6401.670887079661,42,42,32.66865223457643,17
3,apple,983.0144076290497,759.2085184234904,0,223.8058892055593,100.71265014250169,123.09323906305762,1854.112690611957,8122.296082273208,25,46,36.59732489563799,17
